dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2025-11-11T13:42:37+13:00,60.8,-36.603661,174.802032
esp32_device_001,2025-11-11T13:42:42+13:00,58.9,-36.60355,174.80162
esp32_device_001,2025-11-11T13:42:47+13:00,58.1,-36.603397,174.80098
esp32_device_001,2025-11-11T13:42:52+13:00,57.6,-36.603218,174.800278
esp32_device_001,2025-11-11T13:42:57+13:00,57.2,-36.603085,174.799545
esp32_device_001,2025-11-11T13:43:02+13:00,56.5,-36.603317,174.798904
esp32_device_001,2025-11-11T13:43:07+13:00,57.1,-36.603668,174.798248
esp32_device_001,2025-11-11T13:43:12+13:00,57.8,-36.604034,174.797577
esp32_device_001,2025-11-11T13:43:17+13:00,57.8,-36.604416,174.796875
esp32_device_001,2025-11-11T13:43:22+13:00,56.5,-36.604706,174.796204
esp32_device_001,2025-11-11T13:43:27+13:00,52.8,-36.604855,174.795486
esp32_device_001,2025-11-11T13:43:32+13:00,49.9,-36.604988,174.79483
esp32_device_001,2025-11-11T13:43:37+13:00,45.9,-36.605122,174.794189
esp32_device_001,2025-11-11T13:43:42+13:00,40.3,-36.605186,174.793518
esp32_device_001,2025-11-11T13:43:47+13:00,33.7,-36.60511,174.792847
esp32_device_001,2025-11-11T13:43:52+13:00,26,-36.605042,174.792206
esp32_device_001,2025-11-11T13:43:57+13:00,20.8,-36.604961,174.791534
esp32_device_001,2025-11-11T13:44:02+13:00,20.3,-36.604877,174.790817
esp32_device_001,2025-11-11T13:44:07+13:00,24.2,-36.604885,174.790115
esp32_device_001,2025-11-11T13:44:12+13:00,28.6,-36.604984,174.789413
esp32_device_001,2025-11-11T13:44:17+13:00,32.5,-36.605064,174.788742
esp32_device_001,2025-11-11T13:44:22+13:00,36.4,-36.605133,174.788177
esp32_device_001,2025-11-11T13:44:27+13:00,41.4,-36.605206,174.787598
esp32_device_001,2025-11-11T13:44:32+13:00,47.8,-36.605289,174.786987
esp32_device_001,2025-11-11T13:44:37+13:00,53.2,-36.605499,174.786392
esp32_device_001,2025-11-11T13:44:42+13:00,58.9,-36.605892,174.78598
esp32_device_001,2025-11-11T13:44:47+13:00,64.5,-36.606323,174.785599
esp32_device_001,2025-11-11T13:44:52+13:00,70.5,-36.606754,174.785217
esp32_device_001,2025-11-11T13:44:57+13:00,73.9,-36.607216,174.784805
esp32_device_001,2025-11-11T13:45:02+13:00,74.4,-36.607731,174.784332
esp32_device_001,2025-11-11T13:45:07+13:00,72.1,-36.608257,174.783859
esp32_device_001,2025-11-11T13:45:12+13:00,69.9,-36.608788,174.783386
esp32_device_001,2025-11-11T13:45:17+13:00,70.8,-36.609333,174.782852
esp32_device_001,2025-11-11T13:45:22+13:00,72.8,-36.609707,174.782135
esp32_device_001,2025-11-11T13:45:27+13:00,76.3,-36.60997,174.781311
esp32_device_001,2025-11-11T13:45:32+13:00,81.2,-36.610344,174.78067
esp32_device_001,2025-11-11T13:45:37+13:00,84.7,-36.610851,174.78035
esp32_device_001,2025-11-11T13:45:42+13:00,86.4,-36.611279,174.780106
esp32_device_001,2025-11-11T13:45:47+13:00,86.1,-36.61153,174.779861
esp32_device_001,2025-11-11T13:45:52+13:00,85.3,-36.611713,174.779694
esp32_device_001,2025-11-11T13:45:57+13:00,84.3,-36.611797,174.779388
esp32_device_001,2025-11-11T13:46:02+13:00,82.3,-36.6119,174.778839
esp32_device_001,2025-11-11T13:46:07+13:00,80.5,-36.612057,174.778137
esp32_device_001,2025-11-11T13:46:12+13:00,80.2,-36.61232,174.777481
esp32_device_001,2025-11-11T13:46:17+13:00,81.9,-36.612598,174.776932
esp32_device_001,2025-11-11T13:46:22+13:00,82.3,-36.612877,174.776367
esp32_device_001,2025-11-11T13:46:27+13:00,83.4,-36.613171,174.775803
esp32_device_001,2025-11-11T13:46:32+13:00,85.2,-36.613544,174.775299
esp32_device_001,2025-11-11T13:46:37+13:00,85.9,-36.614075,174.774994
esp32_device_001,2025-11-11T13:46:42+13:00,83.9,-36.614723,174.774933
esp32_device_001,2025-11-11T13:46:47+13:00,83.2,-36.615353,174.774887
esp32_device_001,2025-11-11T13:46:52+13:00,81.2,-36.615917,174.774612
esp32_device_001,2025-11-11T13:46:57+13:00,80.1,-36.616447,174.774231
esp32_device_001,2025-11-11T13:47:02+13:00,75.5,-36.616989,174.773987
esp32_device_001,2025-11-11T13:47:07+13:00,70.2,-36.617573,174.773987
esp32_device_001,2025-11-11T13:47:12+13:00,66.1,-36.618141,174.774033
esp32_device_001,2025-11-11T13:47:17+13:00,60.7,-36.618698,174.774002
esp32_device_001,2025-11-11T13:47:22+13:00,54.2,-36.619263,174.77388
esp32_device_001,2025-11-11T13:47:27+13:00,47,-36.619858,174.773712
esp32_device_001,2025-11-11T13:47:32+13:00,40.4,-36.620468,174.773605
esp32_device_001,2025-11-11T13:47:37+13:00,35.8,-36.620995,174.773453
esp32_device_001,2025-11-11T13:47:42+13:00,30.9,-36.621311,174.773071
esp32_device_001,2025-11-11T13:47:47+13:00,27.1,-36.621586,174.772644
esp32_device_001,2025-11-11T13:47:52+13:00,25.9,-36.621872,174.772339
esp32_device_001,2025-11-11T13:47:57+13:00,27.3,-36.622143,174.772064
esp32_device_001,2025-11-11T13:48:02+13:00,30.7,-36.622444,174.771759
esp32_device_001,2025-11-11T13:48:07+13:00,34.6,-36.622757,174.771439
esp32_device_001,2025-11-11T13:48:12+13:00,37.4,-36.62307,174.771118
esp32_device_001,2025-11-11T13:48:17+13:00,40.7,-36.623383,174.770798
esp32_device_001,2025-11-11T13:48:22+13:00,44.1,-36.623653,174.770508
esp32_device_001,2025-11-11T13:48:27+13:00,45.5,-36.623779,174.770386
esp32_device_001,2025-11-11T13:48:32+13:00,47.1,-36.623913,174.770233
esp32_device_001,2025-11-11T13:48:37+13:00,49.8,-36.62421,174.769974
esp32_device_001,2025-11-11T13:48:42+13:00,53.2,-36.624641,174.769806
esp32_device_001,2025-11-11T13:48:47+13:00,55.2,-36.625156,174.769669
esp32_device_001,2025-11-11T13:48:52+13:00,54.9,-36.625748,174.769531
esp32_device_001,2025-11-11T13:48:57+13:00,52.6,-36.6264,174.769394
esp32_device_001,2025-11-11T13:49:02+13:00,49,-36.62706,174.769272
esp32_device_001,2025-11-11T13:49:07+13:00,46,-36.627708,174.769211
esp32_device_001,2025-11-11T13:49:12+13:00,44.8,-36.628223,174.768845
esp32_device_001,2025-11-11T13:49:17+13:00,41.6,-36.628498,174.768188
esp32_device_001,2025-11-11T13:49:22+13:00,41.2,-36.628986,174.7677
esp32_device_001,2025-11-11T13:49:27+13:00,44.4,-36.629555,174.767334
esp32_device_001,2025-11-11T13:49:32+13:00,45.9,-36.629951,174.766785
esp32_device_001,2025-11-11T13:49:37+13:00,43.8,-36.630169,174.766083
esp32_device_001,2025-11-11T13:49:42+13:00,41.2,-36.630409,174.765411
esp32_device_001,2025-11-11T13:49:47+13:00,38.1,-36.630699,174.764786
esp32_device_001,2025-11-11T13:49:52+13:00,35.4,-36.630932,174.764313
esp32_device_001,2025-11-11T13:49:57+13:00,33.7,-36.631126,174.764038
esp32_device_001,2025-11-11T13:50:02+13:00,32.1,-36.631485,174.76384
esp32_device_001,2025-11-11T13:50:07+13:00,30.1,-36.631962,174.763763
esp32_device_001,2025-11-11T13:50:12+13:00,27.9,-36.63245,174.763718
esp32_device_001,2025-11-11T13:50:17+13:00,25.8,-36.632957,174.763672
esp32_device_001,2025-11-11T13:50:22+13:00,24.1,-36.633484,174.763611
esp32_device_001,2025-11-11T13:50:27+13:00,23,-36.633984,174.763535
esp32_device_001,2025-11-11T13:50:32+13:00,22.2,-36.634445,174.763458
esp32_device_001,2025-11-11T13:50:37+13:00,22.4,-36.634918,174.763336
esp32_device_001,2025-11-11T13:50:42+13:00,23.6,-36.635353,174.762955
esp32_device_001,2025-11-11T13:50:47+13:00,23.9,-36.635818,174.762589
esp32_device_001,2025-11-11T13:50:52+13:00,22.2,-36.636295,174.762238
esp32_device_001,2025-11-11T13:50:57+13:00,18.3,-36.636799,174.761871
esp32_device_001,2025-11-11T13:51:02+13:00,17.8,-36.63731,174.761475
esp32_device_001,2025-11-11T13:51:07+13:00,20.3,-36.637753,174.761017
esp32_device_001,2025-11-11T13:51:12+13:00,19.7,-36.638115,174.760406
esp32_device_001,2025-11-11T13:51:17+13:00,21.8,-36.63847,174.759796
esp32_device_001,2025-11-11T13:51:22+13:00,25.6,-36.638809,174.759201
esp32_device_001,2025-11-11T13:51:27+13:00,29.1,-36.639153,174.758652
