dev_esp32,timestamp,altitude,latitude,longitude
esp32_device_001,2026-04-10T11:58:51+12:00,47.1,-36.604599,174.802719
esp32_device_001,2026-04-10T11:58:56+12:00,47.1,-36.604633,174.802704
esp32_device_001,2026-04-10T11:59:01+12:00,47.1,-36.60463,174.802704
esp32_device_001,2026-04-10T11:59:06+12:00,47.1,-36.604637,174.802704
esp32_device_001,2026-04-10T11:59:11+12:00,47.1,-36.604641,174.802704
esp32_device_001,2026-04-10T11:59:16+12:00,47.1,-36.604652,174.802704
esp32_device_001,2026-04-10T11:59:21+12:00,47.1,-36.604668,174.802704
esp32_device_001,2026-04-10T12:01:11+12:00,58.5,-36.60479,174.802628
esp32_device_001,2026-04-10T12:01:21+12:00,58.6,-36.604778,174.802673
esp32_device_001,2026-04-10T12:01:26+12:00,59.7,-36.604767,174.802704
esp32_device_001,2026-04-10T12:01:31+12:00,61.5,-36.604748,174.802734
esp32_device_001,2026-04-10T12:01:36+12:00,61.7,-36.604599,174.802673
esp32_device_001,2026-04-10T12:01:41+12:00,61.1,-36.604229,174.802444
esp32_device_001,2026-04-10T12:01:46+12:00,60.6,-36.603851,174.802231
esp32_device_001,2026-04-10T12:01:51+12:00,61.2,-36.603676,174.802078
esp32_device_001,2026-04-10T12:01:56+12:00,57.4,-36.603554,174.801559
esp32_device_001,2026-04-10T12:02:01+12:00,55.6,-36.603394,174.800858
esp32_device_001,2026-04-10T12:02:06+12:00,54.1,-36.603195,174.800095
esp32_device_001,2026-04-10T12:02:11+12:00,52.9,-36.603157,174.799332
esp32_device_001,2026-04-10T12:02:16+12:00,53.4,-36.603481,174.798676
esp32_device_001,2026-04-10T12:02:21+12:00,55.6,-36.603867,174.797989
esp32_device_001,2026-04-10T12:02:26+12:00,56.9,-36.60424,174.797287
esp32_device_001,2026-04-10T12:02:31+12:00,57.1,-36.604591,174.796631
esp32_device_001,2026-04-10T12:02:36+12:00,54.9,-36.60482,174.795944
esp32_device_001,2026-04-10T12:02:41+12:00,50.8,-36.60495,174.795181
esp32_device_001,2026-04-10T12:02:46+12:00,46.4,-36.605118,174.794357
esp32_device_001,2026-04-10T12:02:51+12:00,40.8,-36.605221,174.793518
esp32_device_001,2026-04-10T12:02:56+12:00,32,-36.605122,174.792679
esp32_device_001,2026-04-10T12:03:01+12:00,23.8,-36.605011,174.79184
esp32_device_001,2026-04-10T12:03:06+12:00,22.8,-36.604912,174.79097
esp32_device_001,2026-04-10T12:03:11+12:00,26.9,-36.604912,174.790161
esp32_device_001,2026-04-10T12:03:16+12:00,33.1,-36.605019,174.789337
esp32_device_001,2026-04-10T12:03:21+12:00,38.2,-36.605133,174.788528
esp32_device_001,2026-04-10T12:03:26+12:00,44.6,-36.605236,174.78772
esp32_device_001,2026-04-10T12:03:31+12:00,51.9,-36.605335,174.786957
esp32_device_001,2026-04-10T12:03:36+12:00,58,-36.605595,174.786331
esp32_device_001,2026-04-10T12:03:41+12:00,63,-36.606083,174.785858
esp32_device_001,2026-04-10T12:03:46+12:00,69.1,-36.606617,174.785385
esp32_device_001,2026-04-10T12:03:51+12:00,72.3,-36.607151,174.784912
esp32_device_001,2026-04-10T12:03:56+12:00,73.9,-36.607708,174.784378
esp32_device_001,2026-04-10T12:04:01+12:00,71,-36.608307,174.783844
esp32_device_001,2026-04-10T12:04:06+12:00,68.4,-36.608913,174.78331
esp32_device_001,2026-04-10T12:04:11+12:00,67.8,-36.609467,174.782715
esp32_device_001,2026-04-10T12:04:16+12:00,71.4,-36.609806,174.781876
esp32_device_001,2026-04-10T12:04:21+12:00,77.5,-36.610119,174.781021
esp32_device_001,2026-04-10T12:04:26+12:00,83.8,-36.610645,174.780502
esp32_device_001,2026-04-10T12:04:31+12:00,86,-36.611237,174.780167
esp32_device_001,2026-04-10T12:04:36+12:00,84.2,-36.611599,174.779816
esp32_device_001,2026-04-10T12:04:41+12:00,84.1,-36.61161,174.7798
esp32_device_001,2026-04-10T12:04:46+12:00,83.5,-36.61161,174.7798
esp32_device_001,2026-04-10T12:04:51+12:00,83.8,-36.611671,174.779755
esp32_device_001,2026-04-10T12:04:56+12:00,83.5,-36.611774,174.779419
esp32_device_001,2026-04-10T12:05:01+12:00,82,-36.611923,174.778732
esp32_device_001,2026-04-10T12:05:06+12:00,81.3,-36.612125,174.777954
esp32_device_001,2026-04-10T12:05:11+12:00,82.2,-36.612423,174.777313
esp32_device_001,2026-04-10T12:05:16+12:00,83.4,-36.612778,174.776627
esp32_device_001,2026-04-10T12:05:21+12:00,83.8,-36.613125,174.77594
esp32_device_001,2026-04-10T12:05:26+12:00,85.3,-36.613544,174.77533
esp32_device_001,2026-04-10T12:05:31+12:00,84.7,-36.614136,174.774994
esp32_device_001,2026-04-10T12:05:36+12:00,83.9,-36.614853,174.774948
esp32_device_001,2026-04-10T12:05:41+12:00,84.4,-36.615582,174.774826
esp32_device_001,2026-04-10T12:05:46+12:00,82.5,-36.616207,174.774414
esp32_device_001,2026-04-10T12:05:51+12:00,79.4,-36.61681,174.774048
esp32_device_001,2026-04-10T12:05:56+12:00,72.5,-36.617481,174.773987
esp32_device_001,2026-04-10T12:06:01+12:00,68.3,-36.618134,174.774033
esp32_device_001,2026-04-10T12:06:06+12:00,63.7,-36.618752,174.774002
esp32_device_001,2026-04-10T12:06:14+12:00,53.2,-36.619732,174.773727
esp32_device_001,2026-04-10T12:06:19+12:00,45.1,-36.620407,174.773605
esp32_device_001,2026-04-10T12:06:24+12:00,37.6,-36.621025,174.773422
esp32_device_001,2026-04-10T12:06:29+12:00,32.5,-36.621449,174.772827
esp32_device_001,2026-04-10T12:06:34+12:00,28,-36.621933,174.772278
esp32_device_001,2026-04-10T12:06:39+12:00,30.5,-36.62244,174.771774
esp32_device_001,2026-04-10T12:06:44+12:00,35,-36.622925,174.771271
esp32_device_001,2026-04-10T12:06:49+12:00,39.2,-36.623432,174.770752
esp32_device_001,2026-04-10T12:06:54+12:00,43.5,-36.623947,174.770218
esp32_device_001,2026-04-10T12:06:59+12:00,48.4,-36.624527,174.769836
esp32_device_001,2026-04-10T12:07:04+12:00,51.9,-36.625195,174.769669
esp32_device_001,2026-04-10T12:07:09+12:00,51.4,-36.625885,174.769531
esp32_device_001,2026-04-10T12:07:14+12:00,48.2,-36.626579,174.769363
esp32_device_001,2026-04-10T12:07:19+12:00,45.2,-36.627296,174.769272
esp32_device_001,2026-04-10T12:07:24+12:00,43.7,-36.627979,174.769135
esp32_device_001,2026-04-10T12:07:29+12:00,41.2,-36.628368,174.7686
esp32_device_001,2026-04-10T12:07:34+12:00,38.9,-36.628685,174.767944
esp32_device_001,2026-04-10T12:07:39+12:00,40.9,-36.629246,174.767563
esp32_device_001,2026-04-10T12:07:44+12:00,43.2,-36.629795,174.767136
esp32_device_001,2026-04-10T12:07:49+12:00,44.2,-36.630093,174.766403
esp32_device_001,2026-04-10T12:07:54+12:00,41,-36.630344,174.765625
esp32_device_001,2026-04-10T12:07:59+12:00,39.5,-36.630672,174.764908
esp32_device_001,2026-04-10T12:08:04+12:00,38.7,-36.630974,174.764297
esp32_device_001,2026-04-10T12:08:09+12:00,36.3,-36.631397,174.763885
esp32_device_001,2026-04-10T12:08:14+12:00,33.3,-36.631912,174.763794
esp32_device_001,2026-04-10T12:08:19+12:00,31,-36.632393,174.763733
esp32_device_001,2026-04-10T12:08:24+12:00,29.2,-36.632896,174.763687
esp32_device_001,2026-04-10T12:08:29+12:00,27.3,-36.63345,174.763626
esp32_device_001,2026-04-10T12:08:34+12:00,26.4,-36.634022,174.763535
esp32_device_001,2026-04-10T12:08:37+12:00,25.3,-36.634567,174.763443
esp32_device_001,2026-04-10T12:08:42+12:00,24.8,-36.635059,174.763245
esp32_device_001,2026-04-10T12:08:47+12:00,24.2,-36.635468,174.762878
esp32_device_001,2026-04-10T12:08:52+12:00,23.7,-36.635914,174.762543
esp32_device_001,2026-04-10T12:08:57+12:00,21.2,-36.636372,174.762207
esp32_device_001,2026-04-10T12:09:02+12:00,17.1,-36.636871,174.761826
esp32_device_001,2026-04-10T12:09:07+12:00,16.8,-36.637371,174.761444
esp32_device_001,2026-04-10T12:09:12+12:00,18.7,-36.63781,174.760956
